,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
361,Westport,40,US,1566687002,53,41.14,-73.36,73.99,8.05
362,Ljutomer,96,SI,1566687002,93,46.52,16.2,66.0,2.24
363,Naze,75,NG,1566687002,100,5.43,7.07,73.4,1.52
364,Esperance,87,AU,1566687003,81,-33.86,121.89,42.8,6.93
365,Tual,100,ID,1566687003,82,-5.67,132.75,75.94,15.3
366,Najran,40,SA,1566687003,20,17.54,44.22,87.8,4.7
367,Puri,28,ID,1566687004,65,-7.54,112.45,75.94,12.33
368,Kalisz,100,PL,1566687004,68,51.76,18.08,64.0,8.79
369,Bojnurd,0,IR,1566687004,28,37.47,57.33,59.0,2.24
370,Hutchinson,75,US,1566687003,65,38.06,-97.93,84.99,12.75
371,Pushkino,0,RU,1566687005,93,56.01,37.85,63.0,6.71
372,Kenai,1,US,1566687005,30,60.55,-151.26,69.01,5.82
373,Trat,100,TH,1566687006,74,12.25,102.51,82.99,1.52
374,Valparaiso,1,US,1566686961,53,41.47,-87.06,73.99,8.05
375,Portales,1,US,1566687006,29,34.19,-103.33,91.99,10.29
376,Bolobo,100,CD,1566687006,87,-2.17,16.23,72.88,11.34
377,Samarinda,100,ID,1566687007,93,-0.5,117.14,77.02,6.2
378,Charlestown,90,US,1566687007,68,41.38,-71.64,72.0,5.82
379,Byron Bay,0,AU,1566687007,82,-28.65,153.62,68.0,0.89
380,Hoi An,20,VN,1566687008,100,15.88,108.33,77.0,4.7
381,Morro Bay,1,US,1566686918,77,35.37,-120.85,96.01,6.93
382,Pastavy,0,BY,1566687008,85,55.11,26.84,54.52,3.67
383,Port Blair,100,IN,1566687009,80,11.67,92.75,81.88,25.64
384,Huinan,70,CN,1566687009,90,42.68,126.04,63.88,2.84
385,Pangody,100,RU,1566687009,91,65.85,74.49,47.68,25.59
386,Timbuktu,56,ML,1566687009,47,16.77,-3.01,89.44,9.55
387,Lorengau,55,PG,1566687010,77,-2.02,147.27,82.78,11.95
388,Hualmay,44,PE,1566686794,90,-11.1,-77.61,58.48,11.86
389,Kalaleh,0,IR,1566687010,78,37.38,55.49,73.4,2.24
390,Khash,0,IR,1566687011,21,28.22,61.21,62.08,7.99
391,Morant Bay,20,JM,1566687011,66,17.88,-76.41,87.8,16.11
392,The Valley,20,AI,1566686715,78,18.22,-63.06,86.0,13.87
393,Nishihara,40,JP,1566687011,78,35.74,139.53,79.0,5.82
394,Lypova Dolyna,0,UA,1566687012,74,50.56,33.8,57.94,7.11
395,Troitsko-Pechorsk,100,RU,1566687012,96,62.71,56.19,45.16,3.2
396,Owen Sound,20,CA,1566687013,56,44.57,-80.95,70.0,6.93
397,Hasaki,75,JP,1566686873,88,35.73,140.83,73.0,9.17
398,Newport,65,GB,1566686795,52,51.59,-3.0,70.0,10.29
399,College,1,US,1566687013,71,64.86,-147.8,60.8,4.7
400,Angahuan,75,MX,1566687014,69,19.55,-102.23,75.2,6.93
401,Ha Tinh,82,VN,1566687014,89,18.33,105.9,76.84,0.69
402,Gonaives,40,HT,1566687014,70,19.45,-72.68,86.0,9.17
403,Ziro,38,IN,1566687015,88,27.54,93.82,59.92,3.67
404,Uyovu,76,TZ,1566687015,52,-3.28,31.53,70.0,6.02
405,Acari,74,BR,1566687015,66,-6.44,-36.64,76.12,25.43
406,Egvekinot,51,RU,1566687015,53,66.32,-179.17,58.66,4.72
407,Quang Ngai,100,VN,1566687016,89,15.12,108.8,74.5,1.36
408,Ladario,67,PT,1566687016,76,40.7,-7.74,71.01,1.01
409,Porto Novo,75,BR,1566687016,72,-23.68,-45.44,60.8,5.82
410,Englehart,1,CA,1566687017,46,47.82,-79.87,71.6,3.36
411,Mount Gambier,40,AU,1566687017,93,-37.83,140.78,39.2,6.93
412,Luganville,75,VU,1566687017,65,-15.51,167.18,77.0,14.99
413,Grindavik,75,IS,1566687018,93,63.84,-22.43,51.8,6.93
414,Lavrentiya,88,RU,1566687018,52,65.58,-170.99,57.94,6.04
415,Coahuayana,15,MX,1566687018,78,18.62,-100.35,82.78,1.83
416,Sinnamary,11,GF,1566687018,72,5.38,-52.96,82.6,8.43
417,Chhatak,100,BD,1566687019,92,25.03,91.67,78.28,6.06
418,Tarbes,90,FR,1566686955,94,43.23,0.08,69.8,4.7
419,Solok,100,ID,1566687019,96,-0.79,100.66,67.12,1.34
420,Nelson Bay,0,AU,1566687019,47,-32.72,152.14,66.0,10.29
421,Raton,1,US,1566687020,15,36.9,-104.44,91.4,10.29
422,Sibolga,100,ID,1566687020,72,1.74,98.78,80.08,8.05
423,Fort Myers Beach,75,US,1566686772,74,26.45,-81.95,93.2,12.75
424,Tuy Hoa,95,VN,1566687021,72,13.08,109.3,79.18,7.94
425,Palmerston,75,AU,1566687021,88,-12.49,130.99,73.0,3.36
426,Campeche,20,MX,1566687021,53,19.84,-90.54,95.0,20.6
427,Madisonville,1,US,1566686774,51,37.33,-87.5,80.6,6.93
428,Birao,100,CF,1566687022,93,10.3,22.78,71.62,5.86
429,Babati,92,TZ,1566687022,91,-4.21,35.75,51.28,11.32
430,Shakawe,0,BW,1566687022,21,-18.36,21.84,52.9,6.11
431,Vostok,42,RU,1566687023,85,46.45,135.83,58.66,2.86
432,Videbaek,0,DK,1566687023,87,56.09,8.63,62.01,5.82
433,Sechura,26,PE,1566686943,85,-5.56,-80.82,62.98,11.65
434,Havre-Saint-Pierre,20,CA,1566687023,67,50.23,-63.6,57.2,12.75
435,Pitimbu,75,BR,1566687024,94,-7.47,-34.81,73.4,8.05
436,Kuito,56,AO,1566687024,36,-12.38,16.94,54.16,5.39
437,Pochutla,20,MX,1566687024,74,15.74,-96.47,88.0,8.05
438,Corumba,35,BR,1566687025,66,-19.0,-57.65,86.0,4.7
439,Lulea,82,SE,1566687025,87,65.58,22.15,57.2,4.7
440,Suwannaphum,75,TH,1566687025,100,15.61,103.81,75.2,5.82
441,Pindwara,96,IN,1566687025,89,24.79,73.05,75.76,5.79
442,Bambanglipuro,69,ID,1566687026,85,-7.95,110.28,73.6,3.76
443,Rancho Palos Verdes,20,US,1566686940,65,33.75,-118.37,93.99,18.34
444,Pevek,0,RU,1566687026,77,69.7,170.27,43.36,3.22
445,Dudinka,75,RU,1566687027,93,69.41,86.18,53.6,6.71
446,Ayan,0,IR,1566687027,43,38.23,44.7,54.16,2.75
447,Bosaso,0,SO,1566687027,61,11.28,49.18,88.9,14.74
448,Puerto Ayacucho,75,CO,1566687028,88,5.66,-67.63,75.2,1.3
449,Ouegoa,39,NC,1566687028,63,-20.34,164.44,68.74,8.23
450,Flin Flon,90,CA,1566687028,88,54.77,-101.88,66.2,6.93
451,Takoradi,100,GH,1566687029,89,4.89,-1.75,74.5,5.95
452,Churapcha,2,RU,1566687029,61,62.0,132.43,64.42,3.22
453,Ninghai,0,CN,1566687029,88,29.29,121.42,84.0,4.47
454,Itoman,20,JP,1566687029,79,26.12,127.67,86.0,9.17
455,Baghdad,8,IQ,1566687030,33,33.3,44.38,89.6,4.7
456,Albion,90,US,1566687030,94,41.69,-98.0,68.0,11.41
457,Santiago del Estero,1,AR,1566686924,41,-27.8,-64.26,66.76,6.08
458,Rundu,0,NA,1566687031,21,-17.91,19.77,60.8,4.7
459,Calvia,0,ES,1566687031,73,39.57,2.51,77.0,4.7
460,Arlit,100,NE,1566687031,63,18.74,7.39,79.9,17.49
461,Lompoc,1,US,1566687032,64,34.64,-120.46,82.0,14.99
462,Usinsk,100,RU,1566687032,85,66.0,57.56,44.26,8.3
463,Clyde River,99,CA,1566687032,55,70.47,-68.59,48.76,0.56
464,Hollola,61,FI,1566687033,99,60.99,25.5,48.0,2.66
465,Norwich,87,GB,1566687033,93,52.63,1.29,66.2,1.12
466,Erzincan,0,TR,1566686746,82,39.75,39.49,61.0,1.9
467,Lingao,100,CN,1566687033,83,19.91,109.69,83.86,13.42
468,Bapatla,100,IN,1566687034,79,15.9,80.47,78.82,10.58
469,Vanimo,100,PG,1566687034,75,-2.67,141.3,81.16,2.37
470,Kathmandu,100,NP,1566687034,85,27.71,85.32,67.48,0.69
471,Rio Gallegos,0,AR,1566687035,86,-51.62,-69.22,41.0,5.82
472,Santa Quiteria,0,ES,1566687035,90,37.67,-1.69,77.0,1.45
473,Estelle,0,FR,1566687035,73,43.97,3.47,71.6,3.36
474,Namatanai,64,PG,1566687035,77,-3.66,152.44,80.98,9.91
475,San Pedro,100,AR,1566687036,74,-33.68,-59.66,57.99,1.99
476,Jashpurnagar,100,IN,1566687036,96,22.88,84.14,70.9,1.45
477,Nandu,75,CN,1566687036,88,31.44,119.33,88.0,6.71
478,Mosetse,0,BW,1566687037,51,-20.64,26.64,56.68,11.81
479,Ambilobe,0,MG,1566687037,77,-13.19,49.05,67.48,6.02
480,Bulawayo,0,ZW,1566687037,74,-20.16,28.59,51.82,7.99
481,Abu Dhabi,0,AE,1566686939,36,24.47,54.37,95.0,10.4
482,Hamilton,20,CA,1566686987,56,43.26,-79.87,72.0,13.87
483,Saravan,40,AM,1566687038,36,39.72,45.65,78.8,4.7
484,Wajir,33,KE,1566687038,75,1.75,40.07,72.7,16.24
485,Claresholm,1,CA,1566687039,35,50.02,-113.58,79.0,19.46
486,Ust-Maya,100,RU,1566687039,87,60.42,134.54,60.46,3.27
487,Isangel,90,VU,1566687039,60,-19.55,169.27,71.6,4.7
488,Buchanan,75,LR,1566687040,94,5.88,-10.05,77.0,12.75
489,Olavarria,54,AR,1566686789,90,-36.89,-60.32,49.84,9.62
490,Ivnya,0,RU,1566687040,63,51.06,36.14,60.8,6.71
491,Glasgow,99,GB,1566687040,77,55.86,-4.24,63.0,4.7
492,Coquimbo,75,CL,1566687041,87,-29.95,-71.34,53.6,6.93
493,Dakar,40,SN,1566686895,94,14.69,-17.45,80.6,6.93
494,Katsuura,20,JP,1566687041,83,33.93,134.5,75.99,8.05
495,Iraan,1,US,1566687041,61,30.91,-101.9,91.99,12.75
496,Peterhead,20,AU,1566687042,81,-34.83,138.5,54.0,8.43
497,Port Hueneme,20,US,1566687042,69,34.15,-119.2,95.0,12.75
498,Posse,4,BR,1566687043,36,-14.08,-46.36,75.58,4.16
499,Crailsheim,40,DE,1566687043,82,49.14,10.07,69.01,1.12
500,Meulaboh,100,ID,1566687043,87,4.14,96.13,75.94,9.26
501,Acapulco,20,MX,1566687043,74,16.86,-99.88,87.8,6.93
502,Namtsy,0,RU,1566687044,93,62.72,129.66,50.0,2.24
503,Huilong,61,CN,1566687044,61,31.15,106.5,83.14,2.64
504,Japura,100,ID,1566687044,77,-0.42,102.29,74.68,1.45
505,North Bend,1,US,1566687045,68,43.41,-124.22,73.0,18.34
506,Kailua,90,US,1566687045,62,21.39,-157.74,88.0,13.87
507,Lata,95,IN,1566687045,95,30.78,78.62,40.48,0.38
508,Namibe,63,AO,1566687046,84,-15.19,12.15,67.66,4.7
509,Sao Joao da Barra,0,BR,1566687046,88,-21.64,-41.05,68.0,3.89
510,Goma,5,CD,1566687046,78,-1.67,29.23,55.24,0.85
511,Pauini,89,BR,1566687047,56,-7.71,-67.0,81.52,4.03
512,Klecany,0,CZ,1566687047,82,50.18,14.41,72.0,5.82
513,Baruun-Urt,81,MN,1566687047,82,46.68,113.28,57.76,12.8
514,Luderitz,0,NA,1566687047,17,-26.65,15.16,73.4,6.93
515,Lincoln,6,GB,1566686888,88,53.23,-0.54,66.2,5.82
516,Latung,22,ID,1566687048,67,-8.45,120.42,77.02,3.47
517,La Ronge,75,CA,1566687048,77,55.1,-105.3,66.2,8.05
518,Saint-Joseph,0,FR,1566687049,78,43.56,6.97,77.0,3.36
519,Shimonoseki,75,JP,1566687049,88,33.97,130.94,71.6,13.87
520,Kavaratti,100,IN,1566687049,78,10.57,72.64,81.52,20.27
521,Mandurah,100,AU,1566687050,87,-32.55,115.7,50.0,10.29
522,Strezhevoy,90,RU,1566687050,93,60.73,77.6,51.8,15.66
523,San Vicente,0,EC,1566687050,73,-0.59,-80.41,75.2,13.87
524,Comodoro Rivadavia,90,AR,1566687051,76,-45.87,-67.48,53.6,12.75
525,Manggar,92,ID,1566687051,79,-2.88,108.27,79.18,5.35
526,Zamora,25,ES,1566687051,77,41.51,-5.74,80.01,4.7
527,Winslow,65,GB,1566687052,72,51.94,-0.88,68.0,3.36
528,Okha,100,RU,1566687052,86,53.59,142.95,53.44,2.62
529,Sonkovo,0,RU,1566687053,95,57.78,37.16,49.3,9.01
530,La Asuncion,3,AR,1566687053,58,-26.05,-65.39,52.0,4.79
531,Sur,0,OM,1566687053,50,22.57,59.53,82.6,4.92
